seizoen,dag,datum,tijd,id_match,thuisploeg_stamnummer,thuisploeg,uitploeg,uitploeg_stamnummer,goal_,goal_team_naam,goal_team_stamnummer,stand_thuis,stand_uit,valid_goal
2023,1,2023/07/28,20:45:00,4093105,9,Union SG,RSCA,35,30',Union SG,Union SG,1,0,True
2023,1,2023/07/28,20:45:00,4093105,9,Union SG,RSCA,35,90+8',Union SG,Union SG,2,0,True
2023,1,2023/07/29,16:00:00,4093106,1792,KAS Eupen,KVCWes,2024,20',KAS Eupen,KAS Eupen,1,0,True
2023,1,2023/07/29,16:00:00,4093106,1792,KAS Eupen,KVCWes,2024,55',KAS Eupen,KAS Eupen,2,0,True
2023,1,2023/07/29,16:00:00,4093106,1792,KAS Eupen,KVCWes,2024,69',KVCWes,KVCWes,2,1,True
2023,1,2023/07/29,16:00:00,4093106,1792,KAS Eupen,KVCWes,2024,90+1',KVCWes,KVCWes,2,2,True
2023,1,2023/07/29,18:15:00,4093107,29,R Charleroi SC,OHL,18,10',R Charleroi SC,R Charleroi SC,1,0,True
2023,1,2023/07/29,18:15:00,4093107,29,R Charleroi SC,OHL,18,17',R Charleroi SC,R Charleroi SC,1,0,False
2023,1,2023/07/29,18:15:00,4093107,29,R Charleroi SC,OHL,18,84',OHL,OHL,1,1,True
2023,1,2023/07/29,20:45:00,4093108,47,RWDM,Genk,290,31',Genk,Genk,0,1,True
2023,1,2023/07/29,20:45:00,4093108,47,RWDM,Genk,290,38',Genk,Genk,0,2,True
2023,1,2023/07/29,20:45:00,4093108,47,RWDM,Genk,290,45',Genk,Genk,0,3,True
2023,1,2023/07/29,20:45:00,4093108,47,RWDM,Genk,290,71',Genk,Genk,0,4,True
2023,1,2023/07/30,13:30:00,4093109,1,Antwerp FC,Cercle,12,45+1',Antwerp FC,Antwerp FC,1,0,True
2023,1,2023/07/30,16:00:00,4093110,7,KAA Gent,KVK,100,5',KVK,KVK,0,1,True
2023,1,2023/07/30,16:00:00,4093110,7,KAA Gent,KVK,100,8',KAA Gent,KAA Gent,1,1,True
2023,1,2023/07/30,16:00:00,4093110,7,KAA Gent,KVK,100,30',KAA Gent,KAA Gent,2,1,True
2023,1,2023/07/30,16:00:00,4093110,7,KAA Gent,KVK,100,71',KAA Gent,KAA Gent,3,1,True
2023,1,2023/07/30,16:00:00,4093110,7,KAA Gent,KVK,100,86',KVK,KVK,3,2,True
2023,1,2023/07/30,18:30:00,4093111,3,Club Brugge,KVM,25,38',KVM,KVM,0,1,True
2023,1,2023/07/30,18:30:00,4093111,3,Club Brugge,KVM,25,65',Club Brugge,Club Brugge,1,1,True
