date,time,home_team,home_team_number,away_team,away_team_number,goal_team,goal_time,result_home_team,result_away_team,valid_goal,season,day,match_id,real_time_goal
2008/08/16,20:00:00,Cercle Brugge,12,RSCA,None,RSCA,16,0.0,1.0,True,2008,1,910832,20:16:00
2008/08/16,20:00:00,Cercle Brugge,12,RSCA,None,RSCA,59,0.0,2.0,True,2008,1,910832,20:59:00
2008/08/16,20:00:00,Cercle Brugge,12,RSCA,None,RSCA,86,0.0,3.0,True,2008,1,910832,21:26:00
2008/08/16,20:00:00,KSV Roeselare,134,KVK,100,KVK,9,0.0,1.0,True,2008,1,910835,20:09:00
2008/08/16,20:00:00,KSV Roeselare,134,KVK,100,KSV Roeselare,42,1.0,1.0,True,2008,1,910835,20:42:00
2008/08/16,20:00:00,KSV Roeselare,134,KVK,100,KSV Roeselare,46,2.0,1.0,True,2008,1,910835,20:46:00
2008/08/16,20:00:00,KSV Roeselare,134,KVK,100,KVK,70,2.0,2.0,True,2008,1,910835,21:10:00
2008/08/16,20:00:00,KSV Roeselare,134,KVK,100,KVK,87,2.0,2.0,False,2008,1,910835,21:27:00
2008/08/16,20:00:00,AFC Tubize,2247,Mous,376,Mous,14,0.0,1.0,True,2008,1,910836,20:14:00
2008/08/16,20:00:00,AFC Tubize,2247,Mous,376,Mous,72,0.0,2.0,True,2008,1,910836,21:12:00
2008/08/16,20:00:00,AFC Tubize,2247,Mous,376,AFC Tubize,86,1.0,2.0,True,2008,1,910836,21:26:00
2008/08/16,20:00:00,KVC Westerlo,867,RCSC,None,KVC Westerlo,18,1.0,0.0,True,2008,1,910837,20:18:00
2008/08/16,20:00:00,FCV Dender EH,1611,SL,231,SL,5,0.0,1.0,True,2008,1,913424,20:05:00
2008/08/16,20:00:00,FCV Dender EH,1611,SL,231,FCV Dender EH,48,1.0,1.0,True,2008,1,913424,20:48:00
2008/08/16,20:00:00,FCV Dender EH,1611,SL,231,SL,58,1.0,2.0,True,2008,1,913424,20:58:00
2008/08/16,20:00:00,FCV Dender EH,1611,SL,231,SL,61,1.0,3.0,True,2008,1,913424,21:01:00
2008/08/17,18:00:00,KAA Gent,7,RAEC M,44,KAA Gent,13,1.0,0.0,True,2008,1,910833,18:13:00
2008/08/17,18:00:00,KAA Gent,7,RAEC M,44,KAA Gent,21,2.0,0.0,True,2008,1,910833,18:21:00
2008/08/17,18:00:00,KAA Gent,7,RAEC M,44,KAA Gent,29,3.0,0.0,True,2008,1,910833,18:29:00
2008/08/17,18:00:00,KAA Gent,7,RAEC M,44,KAA Gent,52,4.0,0.0,True,2008,1,910833,18:52:00
2008/08/17,18:00:00,KAA Gent,7,RAEC M,44,KAA Gent,59,5.0,0.0,True,2008,1,910833,18:59:00
2008/08/17,20:30:00,KRC Genk,290,GBA,None,KRC Genk,19,1.0,0.0,True,2008,1,910830,20:49:00
2008/08/17,20:30:00,KRC Genk,290,GBA,None,GBA,75,1.0,1.0,True,2008,1,910830,21:45:00
2008/09/24,20:30:00,KV Mechelen,25,FCB,253,FCB,38,0.0,1.0,True,2008,1,910834,21:08:00
2008/09/24,20:30:00,KV Mechelen,25,FCB,253,KV Mechelen,47,1.0,1.0,True,2008,1,910834,21:17:00
2008/09/24,20:30:00,KV Mechelen,25,FCB,253,FCB,80,1.0,1.0,False,2008,1,910834,21:50:00
2008/09/24,20:30:00,KV Mechelen,25,FCB,253,FCB,83,1.0,1.0,False,2008,1,910834,21:53:00
2008/08/23,18:00:00,Standard Luik,16,KVCWes,None,Standard Luik,38,1.0,0.0,True,2008,2,913425,18:38:00
2008/08/23,18:00:00,Standard Luik,16,KVCWes,None,Standard Luik,40,2.0,0.0,True,2008,2,913425,18:40:00
2008/08/23,18:00:00,Standard Luik,16,KVCWes,None,Standard Luik,70,3.0,0.0,True,2008,2,913425,19:10:00
2008/08/23,20:00:00,RSC Anderlecht,35,Gent,7,RSC Anderlecht,7,1.0,0.0,True,2008,2,910839,20:07:00
2008/08/23,20:00:00,RSC Anderlecht,35,Gent,7,RSC Anderlecht,25,2.0,0.0,True,2008,2,910839,20:25:00
2008/08/23,20:00:00,RSC Anderlecht,35,Gent,7,Gent,30,2.0,1.0,True,2008,2,910839,20:30:00
2008/08/23,20:00:00,RSC Anderlecht,35,Gent,7,Gent,44,2.0,2.0,True,2008,2,910839,20:44:00
2008/08/23,20:00:00,RSC Anderlecht,35,Gent,7,Gent,69,2.0,2.0,False,2008,2,910839,21:09:00
2008/08/23,20:00:00,R Charleroi SC,29,KSVRoe,None,R Charleroi SC,65,1.0,0.0,True,2008,2,910841,21:05:00
2008/08/23,20:00:00,KSC Lokeren,201,Tubize,482,KSC Lokeren,15,1.0,0.0,True,2008,2,910842,20:15:00
2008/08/23,20:00:00,KSC Lokeren,201,Tubize,482,KSC Lokeren,33,2.0,0.0,True,2008,2,910842,20:33:00
2008/08/23,20:00:00,KSC Lokeren,201,Tubize,482,KSC Lokeren,49,3.0,0.0,True,2008,2,910842,20:49:00
2008/08/23,20:00:00,KSC Lokeren,201,Tubize,482,KSC Lokeren,52,4.0,0.0,True,2008,2,910842,20:52:00
2008/08/23,20:00:00,KSC Lokeren,201,Tubize,482,Tubize,71,4.0,1.0,True,2008,2,910842,21:11:00
2008/08/23,20:00:00,KSC Lokeren,201,Tubize,482,Tubize,90,4.0,1.0,False,2008,2,910842,21:30:00
2008/08/23,20:00:00,Exc. Mouscron,None,KVM,None,KVM,23,0.0,1.0,True,2008,2,910843,20:23:00
2008/08/23,20:00:00,Exc. Mouscron,None,KVM,None,Exc. Mouscron,25,1.0,1.0,True,2008,2,910843,20:25:00
2008/08/23,20:00:00,Exc. Mouscron,None,KVM,None,KVM,45,1.0,1.0,False,2008,2,910843,20:45:00
2008/08/23,20:00:00,Exc. Mouscron,None,KVM,None,Exc. Mouscron,56,2.0,1.0,True,2008,2,910843,20:56:00
2008/08/23,20:00:00,Exc. Mouscron,None,KVM,None,Exc. Mouscron,76,3.0,1.0,True,2008,2,910843,21:16:00
2008/08/23,20:00:00,KV Kortrijk,19,Cercle,12,KV Kortrijk,43,1.0,0.0,True,2008,2,910844,20:43:00
2008/08/23,20:00:00,KV Kortrijk,19,Cercle,12,KV Kortrijk,72,2.0,0.0,True,2008,2,910844,21:12:00
2008/08/23,20:00:00,KV Kortrijk,19,Cercle,12,Cercle,83,2.0,1.0,True,2008,2,910844,21:23:00
2008/08/23,20:00:00,Germ. Beerschot,155,FCVDEH,None,Germ. Beerschot,32,1.0,0.0,True,2008,2,910845,20:32:00
2008/08/23,20:00:00,Germ. Beerschot,155,FCVDEH,None,FCVDEH,41,1.0,1.0,True,2008,2,910845,20:41:00
2008/08/24,18:00:00,RAEC Mons,44,Genk,290,RAEC Mons,7,1.0,0.0,True,2008,2,910840,18:07:00
2008/08/24,18:00:00,RAEC Mons,44,Genk,290,RAEC Mons,39,2.0,0.0,True,2008,2,910840,18:39:00
2008/08/24,18:00:00,RAEC Mons,44,Genk,290,RAEC Mons,53,3.0,0.0,True,2008,2,910840,18:53:00
2008/08/24,18:00:00,RAEC Mons,44,Genk,290,Genk,64,3.0,1.0,True,2008,2,910840,19:04:00
2008/10/29,20:30:00,Club Brugge,3,Zulte,622,Club Brugge,47,1.0,0.0,True,2008,2,910838,21:17:00
2008/10/29,20:30:00,Club Brugge,3,Zulte,622,Club Brugge,58,2.0,0.0,True,2008,2,910838,21:28:00
2008/08/29,20:30:00,AFC Tubize,2247,FCB,253,FCB,1,0.0,1.0,True,2008,3,910852,20:31:00
2008/08/29,20:30:00,AFC Tubize,2247,FCB,253,AFC Tubize,8,0.0,1.0,False,2008,3,910852,20:38:00
2008/08/29,20:30:00,AFC Tubize,2247,FCB,253,FCB,11,0.0,2.0,True,2008,3,910852,20:41:00
2008/08/29,20:30:00,AFC Tubize,2247,FCB,253,FCB,18,0.0,3.0,True,2008,3,910852,20:48:00
2008/08/29,20:30:00,AFC Tubize,2247,FCB,253,AFC Tubize,71,1.0,3.0,True,2008,3,910852,21:41:00
2008/08/29,20:30:00,AFC Tubize,2247,FCB,253,FCB,81,1.0,4.0,True,2008,3,910852,21:51:00
2008/08/30,20:00:00,RSC Anderlecht,35,KVK,100,RSC Anderlecht,32,1.0,0.0,True,2008,3,910846,20:32:00
2008/08/30,20:00:00,RSC Anderlecht,35,KVK,100,RSC Anderlecht,45,2.0,0.0,True,2008,3,910846,20:45:00
2008/08/30,20:00:00,RSC Anderlecht,35,KVK,100,RSC Anderlecht,48,3.0,0.0,True,2008,3,910846,20:48:00
2008/08/30,20:00:00,RSC Anderlecht,35,KVK,100,KVK,54,3.0,0.0,False,2008,3,910846,20:54:00
2008/08/30,20:00:00,RSC Anderlecht,35,KVK,100,RSC Anderlecht,79,4.0,0.0,True,2008,3,910846,21:19:00
2008/08/30,20:00:00,KRC Genk,290,LOK,801,KRC Genk,53,1.0,0.0,True,2008,3,910847,20:53:00
2008/08/30,20:00:00,Cercle Brugge,12,RAEC M,44,Cercle Brugge,11,1.0,0.0,True,2008,3,910848,20:11:00
2008/08/30,20:00:00,Cercle Brugge,12,RAEC M,44,RAEC M,59,1.0,0.0,False,2008,3,910848,20:59:00
2008/08/30,20:00:00,Cercle Brugge,12,RAEC M,44,Cercle Brugge,65,2.0,0.0,True,2008,3,910848,21:05:00
2008/08/30,20:00:00,Cercle Brugge,12,RAEC M,44,RAEC M,77,2.0,1.0,True,2008,3,910848,21:17:00
2008/08/30,20:00:00,FCV Dender EH,1611,Mous,376,Mous,15,0.0,1.0,True,2008,3,910850,20:15:00
2008/08/30,20:00:00,FCV Dender EH,1611,Mous,376,Mous,56,0.0,1.0,False,2008,3,910850,20:56:00
2008/08/30,20:00:00,FCV Dender EH,1611,Mous,376,FCV Dender EH,57,0.0,1.0,False,2008,3,910850,20:57:00
2008/08/30,20:00:00,FCV Dender EH,1611,Mous,376,Mous,84,0.0,2.0,True,2008,3,910850,21:24:00
2008/08/30,20:00:00,FCV Dender EH,1611,Mous,376,FCV Dender EH,92,1.0,2.0,True,2008,3,910850,21:32:00
