seizoen,speeldag,stand,naam_ploeg,id_ploeg,aantal_wedstrijden,aantal_gewonnen,aantal_gelijk,aantal_verloren,doelpunten_voor,doelpunten_tegen,verschil,punten
2023,1,1,KRC Genk,290,1,1,0,0,4,0,4,3
2023,1,2,Union SG,10,1,1,0,0,2,0,2,3
2023,1,3,KAA Gent,7,1,1,0,0,3,2,1,3
2023,1,3,St-Truidense VV,373,1,1,0,0,1,0,1,3
2023,1,3,Antwerp FC,1,1,1,0,0,1,0,1,3
2023,1,6,R Charleroi SC,22,1,0,1,0,1,1,0,1
2023,1,6,KV Mechelen,25,1,0,1,0,1,1,0,1
2023,1,6,KVC Westerlo,867,1,0,1,0,2,2,0,1
2023,1,6,KAS Eupen,1792,1,0,1,0,2,2,0,1
2023,1,6,Club Brugge,3,1,0,1,0,1,1,0,1
2023,1,6,OH Leuven,18,1,0,1,0,1,1,0,1
2023,1,12,Cercle Brugge,12,1,0,0,1,0,1,-1,0
2023,1,12,KV Kortrijk,19,1,0,0,1,2,3,-1,0
2023,1,12,Standard Luik,16,1,0,0,1,0,1,-1,0
2023,1,15,RSC Anderlecht,35,1,0,0,1,0,2,-2,0
2023,1,16,RWDM,47,1,0,0,1,0,4,-4,0
2022,1,1,RSC Anderlecht,35,1,1,0,0,2,0,2,3
2022,1,1,Antwerp FC,1,1,1,0,0,2,0,2,3
2022,1,1,R Charleroi SC,22,1,1,0,0,3,1,2,3
2022,1,1,Zulte Waregem,5381,1,1,0,0,2,0,2,3
2022,1,1,OH Leuven,18,1,1,0,0,2,0,2,3
2022,1,1,KVC Westerlo,867,1,1,0,0,2,0,2,3
2022,1,7,Club Brugge,3,1,1,0,0,3,2,1,3
2022,1,8,Standard Luik,16,1,0,1,0,2,2,0,1
2022,1,8,Union SG,10,1,0,1,0,1,1,0,1
2022,1,8,St-Truidense VV,373,1,0,1,0,1,1,0,1
2022,1,8,KAA Gent,7,1,0,1,0,2,2,0,1
2022,1,12,KRC Genk,290,1,0,0,1,2,3,-1,0
2022,1,13,KAS Eupen,1792,1,0,0,1,1,3,-2,0
2022,1,13,KV Kortrijk,19,1,0,0,1,0,2,-2,0
2022,1,13,RFC Seraing,167,1,0,0,1,0,2,-2,0
2022,1,13,Cercle Brugge,12,1,0,0,1,0,2,-2,0
2022,1,13,KV Oostende,31,1,0,0,1,0,2,-2,0
2022,1,13,KV Mechelen,25,1,0,0,1,0,2,-2,0
2021,1,1,R Charleroi SC,22,1,1,0,0,3,0,3,3
2021,1,2,KV Kortrijk,19,1,1,0,0,2,0,2,3
2021,1,2,Union SG,10,1,1,0,0,3,1,2,3
2021,1,4,KV Mechelen,25,1,1,0,0,3,2,1,3
2021,1,4,St-Truidense VV,373,1,1,0,0,2,1,1,3
2021,1,4,Cercle Brugge,12,1,1,0,0,1,0,1,3
2021,1,7,KAS Eupen,1792,1,0,1,0,2,2,0,1
2021,1,7,OH Leuven,18,1,0,1,0,1,1,0,1
2021,1,7,KRC Genk,290,1,0,1,0,1,1,0,1
2021,1,7,Zulte Waregem,5381,1,0,1,0,1,1,0,1
2021,1,7,Club Brugge,3,1,0,1,0,2,2,0,1
2021,1,7,Standard Luik,16,1,0,1,0,1,1,0,1
2021,1,13,Beerschot V.A.,13,1,0,0,1,0,1,-1,0
2021,1,13,KAA Gent,7,1,0,0,1,1,2,-1,0
2021,1,13,Antwerp FC,1,1,0,0,1,2,3,-1,0
2021,1,16,RFC Seraing,167,1,0,0,1,0,2,-2,0
2021,1,16,RSC Anderlecht,35,1,0,0,1,1,3,-2,0
2021,1,18,KV Oostende,31,1,0,0,1,0,3,-3,0
2020,1,1,Waasland-Beveren,4068,1,1,0,0,3,1,2,3
2020,1,2,Beerschot V.A.,13,1,1,0,0,2,1,1,3
2020,1,2,KRC Genk,290,1,1,0,0,2,1,1,3
2020,1,2,St-Truidense VV,373,1,1,0,0,2,1,1,3
2020,1,5,R Charleroi SC,22,1,1,0,0,1,0,1,3
2020,1,5,Standard Luik,16,1,1,0,0,1,0,1,3
2020,1,7,RSC Anderlecht,35,1,0,1,0,2,2,0,1
2020,1,7,KV Mechelen,25,1,0,1,0,2,2,0,1
2020,1,9,Antwerp FC,1,1,0,1,0,1,1,0,1
2020,1,9,OH Leuven,18,1,0,1,0,1,1,0,1
2020,1,9,Moeskroen,216,1,0,1,0,1,1,0,1
2020,1,9,KAS Eupen,1792,1,0,1,0,1,1,0,1
2020,1,13,KAA Gent,7,1,0,0,1,1,2,-1,0
2020,1,13,KV Oostende,31,1,0,0,1,1,2,-1,0
2020,1,13,Zulte Waregem,5381,1,0,0,1,1,2,-1,0
2020,1,16,Club Brugge,3,1,0,0,1,0,1,-1,0
2020,1,16,Cercle Brugge,12,1,0,0,1,0,1,-1,0
2020,1,18,KV Kortrijk,19,1,0,0,1,1,3,-2,0
2019,1,1,Antwerp FC,1,1,1,0,0,4,1,3,3
2019,1,2,Club Brugge,3,1,1,0,0,3,1,2,3
2019,1,3,KV Mechelen,25,1,1,0,0,2,0,2,3
2019,1,3,Standard Luik,16,1,1,0,0,2,0,2,3
2019,1,5,KRC Genk,290,1,1,0,0,2,1,1,3
2019,1,5,KV Oostende,31,1,1,0,0,2,1,1,3
2019,1,7,Moeskroen,216,1,1,0,0,1,0,1,3
2019,1,8,KAA Gent,7,1,0,1,0,1,1,0,1
2019,1,8,R Charleroi SC,22,1,0,1,0,1,1,0,1
2019,1,10,RSC Anderlecht,35,1,0,0,1,1,2,-1,0
2019,1,10,KV Kortrijk,19,1,0,0,1,1,2,-1,0
2019,1,12,St-Truidense VV,373,1,0,0,1,0,1,-1,0
2019,1,13,Waasland-Beveren,4068,1,0,0,1,1,3,-2,0
2019,1,14,Cercle Brugge,12,1,0,0,1,0,2,-2,0
2019,1,14,Zulte Waregem,5381,1,0,0,1,0,2,-2,0
2019,1,16,KAS Eupen,1792,1,0,0,1,1,4,-3,0
2018,1,1,KRC Genk,290,1,1,0,0,4,0,4,3
2018,1,2,Club Brugge,3,1,1,0,0,5,2,3,3
2018,1,3,RSC Anderlecht,35,1,1,0,0,4,1,3,3
2018,1,4,Standard Luik,16,1,1,0,0,3,2,1,3
2018,1,5,KV Oostende,31,1,1,0,0,2,1,1,3
2018,1,6,Antwerp FC,1,1,1,0,0,1,0,1,3
2018,1,7,Zulte Waregem,5381,1,0,1,0,2,2,0,1
2018,1,7,Waasland-Beveren,4068,1,0,1,0,2,2,0,1
2018,1,9,St-Truidense VV,373,1,0,1,0,0,0,0,1
2018,1,9,Cercle Brugge,12,1,0,1,0,0,0,0,1
2018,1,11,KAA Gent,7,1,0,0,1,2,3,-1,0
2018,1,12,Moeskroen,216,1,0,0,1,1,2,-1,0
2018,1,13,R Charleroi SC,22,1,0,0,1,0,1,-1,0
2018,1,14,KAS Eupen,1792,1,0,0,1,2,5,-3,0
2018,1,15,KV Kortrijk,19,1,0,0,1,1,4,-3,0
2018,1,16,KSC Lokeren,282,1,0,0,1,0,4,-4,0
2017,1,1,Zulte Waregem,5381,1,1,0,0,5,0,5,3
2017,1,2,Club Brugge,3,1,1,0,0,4,0,4,3
2017,1,3,St-Truidense VV,373,1,1,0,0,3,2,1,3
2017,1,4,R Charleroi SC,22,1,1,0,0,1,0,1,3
