date,time,home_team,home_team_number,result_home_team,result_away_team,away_team,away_team_number,season,day,match_id
2023/07/28,20:45:00,Union Saint-Gilloise,Union Saint-Gilloise,2,0,RSC Anderlecht,35,2023,1,4093105
2023/07/29,16:00:00,KAS Eupen,1792,2,2,KVC Westerlo,867,2023,1,4093105
2023/07/29,18:15:00,R Charleroi SC,R Charleroi SC,1,1,Oud-Heverlee Leuven,2495,2023,1,4093105
2023/07/29,20:45:00,RWD Molenbeek,RWD Molenbeek,0,4,KRC Genk,290,2023,1,4093105
2023/07/30,13:30:00,R Antwerp FC,R Antwerp FC,1,0,Cercle Brugge,12,2023,1,4093105
2023/07/30,16:00:00,KAA Gent,7,3,2,KV Kortrijk,19,2023,1,4093105
2023/07/30,18:30:00,Club Brugge,3,1,1,KV Mechelen,25,2023,1,4093105
2023/07/30,19:15:00,Sint-Truidense VV,322,1,0,Standard Luik,16,2023,1,4093105
2023/08/04,20:45:00,Standard Luik,16,0,1,Union Saint-Gilloise,Union Saint-Gilloise,2023,2,4098763
2023/08/05,16:00:00,KRC Genk,290,0,1,KAS Eupen,1792,2023,2,4098763
2023/08/05,18:15:00,Cercle Brugge,12,2,0,R Charleroi SC,R Charleroi SC,2023,2,4098763
2023/08/05,20:45:00,Oud-Heverlee Leuven,2495,1,2,RWD Molenbeek,RWD Molenbeek,2023,2,4098763
2023/08/06,13:30:00,RSC Anderlecht,35,1,0,R Antwerp FC,R Antwerp FC,2023,2,4098763
2023/08/06,16:00:00,KV Mechelen,25,0,1,KAA Gent,7,2023,2,4098763
2023/08/06,18:30:00,KVC Westerlo,867,0,1,Club Brugge,3,2023,2,4098763
2023/08/06,19:15:00,KV Kortrijk,19,0,1,Sint-Truidense VV,322,2023,2,4098763
2023/08/11,20:45:00,R Antwerp FC,R Antwerp FC,6,0,KV Kortrijk,19,2023,3,4098795
2023/08/12,16:00:00,RWD Molenbeek,RWD Molenbeek,1,0,KV Mechelen,25,2023,3,4098795
2023/08/12,18:15:00,Union Saint-Gilloise,Union Saint-Gilloise,5,1,Oud-Heverlee Leuven,2495,2023,3,4098795
2023/08/13,13:30:00,Sint-Truidense VV,322,0,1,RSC Anderlecht,35,2023,3,4098795
2023/08/13,16:00:00,Cercle Brugge,12,0,1,KRC Genk,290,2023,3,4098795
2023/08/13,18:30:00,R Charleroi SC,R Charleroi SC,1,1,Standard Luik,16,2023,3,4098795
2023/08/13,19:15:00,KVC Westerlo,867,1,3,KAA Gent,7,2023,3,4098795
2023/08/18,20:45:00,Oud-Heverlee Leuven,2495,1,1,R Antwerp FC,R Antwerp FC,2023,4,4098771
2023/08/19,16:00:00,Standard Luik,16,0,1,Cercle Brugge,12,2023,4,4098771
2023/08/19,20:45:00,KV Mechelen,25,4,0,Union Saint-Gilloise,Union Saint-Gilloise,2023,4,4098771
2023/08/20,13:30:00,RSC Anderlecht,35,2,1,KVC Westerlo,867,2023,4,4098771
2023/08/20,16:00:00,KAA Gent,7,2,2,Sint-Truidense VV,322,2023,4,4098771
2023/08/20,18:30:00,Club Brugge,3,7,1,RWD Molenbeek,RWD Molenbeek,2023,4,4098771
2023/08/20,19:15:00,KV Kortrijk,19,1,3,KAS Eupen,1792,2023,4,4098771
2023/08/26,16:00:00,KVC Westerlo,867,2,3,KV Mechelen,25,2023,5,4098792
2023/08/26,18:15:00,KAS Eupen,1792,3,1,Oud-Heverlee Leuven,2495,2023,5,4098792
2023/08/26,20:45:00,KV Kortrijk,19,1,1,Standard Luik,16,2023,5,4098792
2023/08/27,16:00:00,Sint-Truidense VV,322,0,2,Cercle Brugge,12,2023,5,4098792
2023/08/27,18:30:00,RSC Anderlecht,35,2,1,R Charleroi SC,R Charleroi SC,2023,5,4098792
2023/09/27,20:45:00,R Antwerp FC,R Antwerp FC,0,0,KAA Gent,7,2023,5,4098792
2023/09/28,18:30:00,RWD Molenbeek,RWD Molenbeek,2,3,Union Saint-Gilloise,Union Saint-Gilloise,2023,5,4098792
2023/09/28,20:45:00,Club Brugge,3,1,1,KRC Genk,290,2023,5,4098792
