Royal Antwerp FC,1
Antwerp FC,1
R Antwerp FC,1
KBFC,1
Daring Club,2
Daring Club Brussel,2
Daring Club de Bruxelles,2
Club Brugge,3
RFC Luik,4
RFCL,4
RFC Liégeois,4
RC Luik,4
Racing Club de Bruxelles,6
Association Royale Athlétique Gent,7
ARA Gent,7
KAA Gent,7
Union SG,10
Union Saint-Gilloise,10
RUSG,10
Cercle Brugge,12
VAC Beerschot (- 1999),13
VAC Beerschot,13
Beerschot V.A.,13
Beerschot AC,13
Beerschot VAV,13
Standard Luik,16
RFC Seraing (- 1996),17
RFC Seraing,17
OH Leuven,18
OHL,18
Stade Leuven,18
Oud-Heverlee Leuven,18
KV Kortrijk,19
RFC Tilleur,21
R. Tilleur FC,21
R Charleroi SC,22
RCSC,22
Racing Mechelen,24
RCM,24
KV Mechelen,25
KVM,25
Berchem Sport,28
BerchS,28
Lierse SK (- 2018),30
Lierse SK,30
KV Oostende,31
Vervi tois,33
Stade Verviétois,33
Verviétois,33
RSC Anderlecht,35
RSCA,35
KSC Hasselt,37
KFC Diest,41
RAEC Mons (- 2015),44
RAEC Mons,44
RWD Molenbeek,47
RRC Br ssel,47
RRC Brüssel,47
Royal Racing White Brüssel,47
RWD Molenbeek (- 2002),47
AS Oostende KM,53
KSK Tongeren (-2014),54
KSK Tongeren,54
KSK Tongeren (- 2014),54
KSKTon,54
Royal Crossing Club de Schaerbeek,55
R. Crossing Club de Schaerbeek,55
RCC Schaerbeek,55
Boom FC,58
KSC Eendracht Aalst,90
Eendracht Aalst,90
RAA La Louviere,94
RAAL La Louvière,94
La Louviere,94
RAA La Louviere (- 2009),94
KSV Roeselare,134
KSV Roeselare (- 2020),134
KSVRoe,134
KFC Turnhout,148
RFC Seraing,167
Royal Moeskroen-Péruwelz,216
RMP,216
Royal Excel Moeskroen (-2022),216
Royal Excel Moeskroen,216
Moeskroen,216
K. St-Niklase SK,221
K. Sint-Niklase SK,221
Excelsior Mouscron (- 2009),224
Exc. Mouscron,224
Excelsior Mouscron,224
Mont.-sur-Sambre,246
ROCMsS,246
Royal Olympic Club de Montignies-sur-Sambre,246
Olymp. Charleroi,246
Olympic Charleroi,246
KSC Lokeren OV,282
KSC Lokeren (- 2020),282
KSC Lokeren,282
KFC Winterslag,322
KRC Genk,322
Sint-Truidense VV,373
St-Truidense VV,373
STVV,373
KFCV Geel,395
KFC Verbroedering Geel,395
KFC Verbroedering Geel (- 2008),395
Beringen FC,522
Beringen FC (- 2002),522
Waterschei SV Thor,553
Waterschei Thor,553
K. Waterschei SV Thor,553
Waterschei THOR,553
Waterschei SV THOR (- 1988),553
KRC Harelbeke,1615
KRCHar,1615
FC Molenbeek Brussel,1936
FC Brussel,1936
FC Molenbeek Brussel Strombeek,1936
FC Brussels,1936
KFC Lommelse SK,1986
KFC Lommel SK (- 2003),1986
Lommel SK,1986
KVC Westerlo,2024
KVC Wes,2024
KVCWes,2024
KSK Beveren,2300
SK Beveren-Waes,2300
SKBevW,2300
KSK Beveren (- 2010),2300
Heusden-Zolder,2614
K. Heusden-Zolder,2614
Heusden-Zolder SK,2614
VV Patro Eisden,3434
K Patro Eisden,3434
K. Beerschot AC,3530
Royal Beerschot AC,3530
Germ. Beerschot,3530
VAC Beerschot,3530
Germinal Ekeren,3530
Beerschot VAV,3530
Germinal Beerschot Antwerpen,3530
Beerschot AC,3530
KBVA,3530
GBA,3530
FCV Dender EH,3900
FCVDEH,3900
Waasland-Beveren,4068
SK Beveren-Waes,4068
KVRS Waasland - SK Beveren,4068
KSK Beveren,4068
SK Beveren,4068
KAS Eupen,4276
KSV Waregem,4451
KSVWar,4451
KSV Waregem (- 2001),4451
Racing Jet Brussel,4549
Racing Jet,4549
RJB,4549
SV Zulte Waregem,5381
Zulte Waregem,5381
RWDM,5479
RWD Molenbeek,5479
AFC Tubize,5632
