Rank,Club,Club Number,Played,Wins,Draws,Losses,Goals,Goal_Difference,Points,Season,Day
1,KAA Gent,7,1,1,0,0,5:0,5,3,2008,1
2,RSC Anderlecht,35,1,1,0,0,3:0,3,3,2008,1
3,Standard Luik,16,1,1,0,0,3:1,2,3,2008,1
4,Exc. Mouscron,Exc. Mouscron,1,1,0,0,2:1,1,3,2008,1
5,KVC Westerlo,867,1,1,0,0,1:0,1,3,2008,1
6,KSV Roeselare,134,1,0,1,0,2:2,0,1,2008,1
6,KV Kortrijk,19,1,0,1,0,2:2,0,1,2008,1
8,Club Brugge,3,1,0,1,0,1:1,0,1,2008,1
8,KRC Genk,290,1,0,1,0,1:1,0,1,2008,1
8,Germ. Beerschot,Germ. Beerschot,1,0,1,0,1:1,0,1,2008,1
8,KV Mechelen,25,1,0,1,0,1:1,0,1,2008,1
12,KSC Lokeren,KSC Lokeren,1,0,1,0,0:0,0,1,2008,1
12,Zulte Waregem,Zulte Waregem,1,0,1,0,0:0,0,1,2008,1
14,AFC Tubize,2247,1,0,0,1,1:2,-1,0,2008,1
15,R Charleroi SC,R Charleroi SC,1,0,0,1,0:1,-1,0,2008,1
16,FCV Dender EH,1611,1,0,0,1,1:3,-2,0,2008,1
17,Cercle Brugge,12,1,0,0,1,0:3,-3,0,2008,1
18,RAEC Mons,44,1,0,0,1,0:5,-5,0,2008,1
1,Standard Luik,16,2,2,0,0,6:1,5,6,2008,2
2,Exc. Mouscron,Exc. Mouscron,2,2,0,0,5:2,3,6,2008,2
3,KAA Gent,7,2,1,1,0,7:2,5,4,2008,2
4,RSC Anderlecht,35,2,1,1,0,5:2,3,4,2008,2
5,KSC Lokeren,KSC Lokeren,2,1,1,0,4:1,3,4,2008,2
6,Club Brugge,3,2,1,1,0,3:1,2,4,2008,2
7,KV Kortrijk,19,2,1,1,0,4:3,1,4,2008,2
8,R Charleroi SC,R Charleroi SC,2,1,0,1,1:1,0,3,2008,2
9,KVC Westerlo,867,2,1,0,1,1:3,-2,3,2008,2
10,RAEC Mons,44,2,1,0,1,3:6,-3,3,2008,2
11,Germ. Beerschot,Germ. Beerschot,2,0,2,0,2:2,0,2,2008,2
12,KSV Roeselare,134,2,0,1,1,2:3,-1,1,2008,2
13,KRC Genk,290,2,0,1,1,2:4,-2,1,2008,2
13,KV Mechelen,25,2,0,1,1,2:4,-2,1,2008,2
13,FCV Dender EH,1611,2,0,1,1,2:4,-2,1,2008,2
