seizoen,speeldag,datum,tijd,id_match,thuisploeg_stamnummer,thuisploeg,uitploeg_stamnummer,uitploeg,doelpunten_thuisploeg,doelpunten_uitploeg
2020,1,2020/08/08,16:30:00,3413839,3,Club Brugge,29,R Charleroi SC,0,1
2020,1,2020/08/08,19:00:00,3413840,1,R Antwerp FC,216,Royal Excel Moeskroen (-2022),1,1
2020,1,2020/08/08,19:00:00,3413841,16,Standard Luik,12,Cercle Brugge,1,0
2020,1,2020/08/09,13:30:00,3413842,322,Sint-Truidense VV,7,KAA Gent,2,1
2020,1,2020/08/09,16:00:00,3413843,2159,SV Zulte Waregem,290,KRC Genk,1,2
2020,1,2020/08/09,18:15:00,3413844,25,KV Mechelen,35,RSC Anderlecht,2,2
2020,1,2020/08/09,20:45:00,3413845,19,KV Kortrijk,1669,KVRS Waasland - SK Beveren,1,3
2020,1,2020/08/10,19:00:00,3413846,2495,Oud-Heverlee Leuven,1792,KAS Eupen,1,1
2020,1,2020/08/10,19:00:00,3413847,31,KV Oostende,13,Beerschot V.A.,1,2
2020,2,2020/08/14,19:00:00,3415245,216,Royal Excel Moeskroen (-2022),25,KV Mechelen,0,1
2020,2,2020/08/15,16:30:00,3415246,290,KRC Genk,2495,Oud-Heverlee Leuven,1,1
2020,2,2020/08/15,19:00:00,3415247,7,KAA Gent,19,KV Kortrijk,1,2
2020,2,2020/08/15,19:00:00,3415248,29,R Charleroi SC,31,KV Oostende,1,0
2020,2,2020/08/16,13:30:00,3415249,12,Cercle Brugge,1,R Antwerp FC,2,1
2020,2,2020/08/16,16:00:00,3415250,13,Beerschot V.A.,2159,SV Zulte Waregem,3,1
2020,2,2020/08/16,16:00:00,3415251,1792,KAS Eupen,3,Club Brugge,0,4
2020,2,2020/08/16,18:15:00,3415252,35,RSC Anderlecht,322,Sint-Truidense VV,3,1
2020,2,2020/08/17,19:00:00,3415253,1669,KVRS Waasland - SK Beveren,16,Standard Luik,1,2
2020,3,2020/08/21,19:00:00,3415262,19,KV Kortrijk,1792,KAS Eupen,0,0
2020,3,2020/08/22,16:15:00,3415260,2159,SV Zulte Waregem,1669,KVRS Waasland - SK Beveren,4,1
2020,3,2020/08/22,18:30:00,3415256,25,KV Mechelen,12,Cercle Brugge,2,3
2020,3,2020/08/22,18:30:00,3415257,2495,Oud-Heverlee Leuven,29,R Charleroi SC,1,3
2020,3,2020/08/22,20:45:00,3415254,1,R Antwerp FC,7,KAA Gent,1,0
2020,3,2020/08/23,13:30:00,3415259,16,Standard Luik,290,KRC Genk,0,0
2020,3,2020/08/23,16:00:00,3415255,3,Club Brugge,13,Beerschot V.A.,0,1
2020,3,2020/08/23,18:15:00,3415258,35,RSC Anderlecht,216,Royal Excel Moeskroen (-2022),1,1
2020,3,2020/08/24,20:45:00,3415261,322,Sint-Truidense VV,31,KV Oostende,0,0
2020,4,2020/08/28,20:45:00,3415267,31,KV Oostende,35,RSC Anderlecht,2,2
2020,4,2020/08/29,16:15:00,3415271,1792,KAS Eupen,322,Sint-Truidense VV,1,1
2020,4,2020/08/29,18:30:00,3415265,12,Cercle Brugge,19,KV Kortrijk,0,1
2020,4,2020/08/29,18:30:00,3415270,1669,KVRS Waasland - SK Beveren,2495,Oud-Heverlee Leuven,1,3
2020,4,2020/08/29,20:45:00,3415268,216,Royal Excel Moeskroen (-2022),2159,SV Zulte Waregem,0,1
2020,4,2020/08/30,13:30:00,3415266,290,KRC Genk,3,Club Brugge,1,2
2020,4,2020/08/30,16:00:00,3415264,13,Beerschot V.A.,16,Standard Luik,0,3
2020,4,2020/08/30,18:15:00,3415269,29,R Charleroi SC,1,R Antwerp FC,2,0
2020,4,2020/08/30,20:45:00,3415263,7,KAA Gent,25,KV Mechelen,1,0
2020,5,2020/09/11,20:45:00,3415275,1792,KAS Eupen,7,KAA Gent,2,1
2020,5,2020/09/12,16:15:00,3415272,25,KV Mechelen,31,KV Oostende,0,1
2020,5,2020/09/12,18:30:00,3415277,2495,Oud-Heverlee Leuven,16,Standard Luik,1,0
